,SPY,QQQ,IWM,AAPL,MSFT,NVDA,GOOGL,META,JPM,BAC,XOM,CVX,AMZN,WMT,JNJ
SPY,1.0,0.9640226402694576,0.8436203481210636,0.7332603999379718,0.7468564466679375,0.3848936442581919,0.6247084593489151,0.7190125950829418,0.6497399475958618,0.6600016425611205,0.38781056360083627,0.5059898962639232,0.7667146087285427,0.4724742977887031,0.00669502408823193
QQQ,0.9640226402694576,1.0,0.7689836653428588,0.7148177461263573,0.7849114474001785,0.43277886679115735,0.6673188615449961,0.7485814529922928,0.5494577112181499,0.5581838754096512,0.2655760613403298,0.39255730256955734,0.789610443962982,0.4111854437070667,-0.1438936475726695
IWM,0.8436203481210636,0.7689836653428588,1.0,0.551019558901173,0.5355678722537243,0.26215780821970386,0.48693942038264276,0.512503374087724,0.6653264578088269,0.7102999569926981,0.4339739206731111,0.5172275218822406,0.633427100247926,0.36507048187685653,0.07220614247689933
AAPL,0.7332603999379718,0.7148177461263573,0.551019558901173,1.0,0.5609638718567955,0.2817990950377965,0.4561561001768938,0.5086133173716674,0.39103354028438014,0.44450272420502135,0.3161070510903693,0.38938177378556926,0.5455663929885135,0.3770517229020031,0.022505806198099373
MSFT,0.7468564466679375,0.7849114474001785,0.5355678722537243,0.5609638718567955,1.0,0.29895759467981786,0.5792315018894013,0.6631949606595554,0.39288004344609506,0.3906538370700007,0.08754586656907581,0.22636215628576972,0.6993834621508003,0.3187769532349692,-0.1416723662691184
NVDA,0.3848936442581919,0.43277886679115735,0.26215780821970386,0.2817990950377965,0.29895759467981786,1.0,0.25898234586297736,0.2526108738214921,0.18234506749362275,0.17354761573153452,0.05203391771375362,0.10995499742085556,0.2704823558146823,0.03710391964487666,-0.19361082560900952
GOOGL,0.6247084593489151,0.6673188615449961,0.48693942038264276,0.4561561001768938,0.5792315018894013,0.25898234586297736,1.0,0.5653722522827981,0.3348772988294446,0.3243415409512504,0.10351025424415128,0.2055082139143737,0.6422385128723315,0.21800007448441136,-0.15499189011908673
META,0.7190125950829418,0.7485814529922928,0.512503374087724,0.5086133173716674,0.6631949606595554,0.2526108738214921,0.5653722522827981,1.0,0.37673761536607414,0.42428488279647836,0.1535022569517859,0.20679876017680454,0.6939752971968128,0.33759763901237483,-0.1439384979358601
JPM,0.6497399475958618,0.5494577112181499,0.6653264578088269,0.39103354028438014,0.39288004344609506,0.18234506749362275,0.3348772988294446,0.37673761536607414,1.0,0.8035271950869989,0.38186517991653635,0.46316780217107534,0.4884718649349788,0.3595459197022988,0.10964789007644374
BAC,0.6600016425611205,0.5581838754096512,0.7102999569926981,0.44450272420502135,0.3906538370700007,0.17354761573153452,0.3243415409512504,0.42428488279647836,0.8035271950869989,1.0,0.3782913300973805,0.4572626049200011,0.4901229158036346,0.3631013535657681,0.0896910785444785
XOM,0.38781056360083627,0.2655760613403298,0.4339739206731111,0.3161070510903693,0.08754586656907581,0.05203391771375362,0.10351025424415128,0.1535022569517859,0.38186517991653635,0.3782913300973805,1.0,0.8133101723171455,0.17220837499938596,0.0979745135095519,0.19675756251148302
CVX,0.5059898962639232,0.39255730256955734,0.5172275218822406,0.38938177378556926,0.22636215628576972,0.10995499742085556,0.2055082139143737,0.20679876017680454,0.46316780217107534,0.4572626049200011,0.8133101723171455,1.0,0.32451270932263193,0.18035314122211257,0.15830894279357424
AMZN,0.7667146087285427,0.789610443962982,0.633427100247926,0.5455663929885135,0.6993834621508003,0.2704823558146823,0.6422385128723315,0.6939752971968128,0.4884718649349788,0.4901229158036346,0.17220837499938596,0.32451270932263193,1.0,0.37128411984875354,-0.14281724022268935
WMT,0.4724742977887031,0.4111854437070667,0.36507048187685653,0.3770517229020031,0.3187769532349692,0.03710391964487666,0.21800007448441136,0.33759763901237483,0.3595459197022988,0.3631013535657681,0.0979745135095519,0.18035314122211257,0.37128411984875354,1.0,0.13921528217521878
JNJ,0.00669502408823193,-0.1438936475726695,0.07220614247689933,0.022505806198099373,-0.1416723662691184,-0.19361082560900952,-0.15499189011908673,-0.1439384979358601,0.10964789007644374,0.0896910785444785,0.19675756251148302,0.15830894279357424,-0.14281724022268935,0.13921528217521878,1.0
